autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Žeravčić Zorana,1982,Zemun,treći,Treća beogradska gimnazija,Beograd,AST,5,2000,Zavisnost raspodele sjaja po Mesečevom disku od faze,pdf/2000/z00-1101zorana.pdf
Petković Marko,1984,Niš,drugi,"Gimnazija ""Svetozar Marković""",Niš,FIZ,12,2000,Odredjivanje profila kapljice na ravnoj podlozi,pdf/2000/z00-1201marko.pdf
Petrović Katarina,1984,Beograd,drugi,Matematička gimnazija,Beograd,FIZ,13,2000,Standardni i višedimenzioni Bak Sneppenow model evolucije,pdf/2000/z00-1202katarina.pdf
Bihelović Filip,1981,Beograd,četvrti,Hemijsko-prehrambrena tehnološka škola,Beograd,HEM,7,2000,"Primena reakcije katalitičke oksidacije mono-, di- i tri hidroksi arena vodonik peroksidom za odredjivanje mikrokoličina bakra",pdf/2000/z00-1301filip_b.pdf
Puzović Miloš,1983,Čačak,drugi,Gimnazija,Čačak,RAČ,10,2000,MC - modifikacija C okruženja prilagodjena modularnom programiranju,pdf/2000/z00-1301puzovic.pdf
Momić Snežana,1983,Banja Luka,treći,"Elektrotehnička škola ""Nikola Tesla""",Banja Luka,ELE,11,2000,Laserski modem sa paralelnim prenosom podataka,pdf/2000/z00-1302lmodem1.pdf
Gavrilović Milan,1981,Kragujevac,četvrti,Prva kragujevačka gimnazija,Kragujevac,ELE,11,2000,Laserski modem sa paralelnim prenosom podataka,pdf/2000/z00-1302lmodem1.pdf
Djokić Vladimir,1984,Bor,prvi,"Gimnazija ""Bora Stanković""",Bor,BIO,11,2000,"Uticaj nekih mikroklimatskih faktora na diferencijaciju zajednice tipa Querco-Carpinetum moesiacum (serbicum) Rudski 1949, u okolini Petnice",pdf/2000/z00-2101vlada.pdf
Tomašev Nenad,1985,Novi Sad,prvi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,5,2000,Istraživanje faune orthoptera okoline Petnice,pdf/2000/z00-2102tomasev.pdf
Banjac Vladimir,1983,Novi Sad,drugi,"Gimnazija ""Laza Kostić""",Novi Sad,BIO,5,2000,Istraživanje faune orthoptera okoline Petnice,pdf/2000/z00-2102tomasev.pdf
Jovanović Boris,1982,Niš,treći,Gimnazija 9 maj,Niš,BIO,8,2000,Kvalitativni i kvantitativni sastav ihtiofaune reke Gradac,pdf/2000/z00-2103ribe.pdf
Rakić Danijel,1981,Valjevo,četvrti,Ekonomska škola,Valjevo,BIO,8,2000,Kvalitativni i kvantitativni sastav ihtiofaune reke Gradac,pdf/2000/z00-2103ribe.pdf
Petrović Anita,1983,Aleksinac,drugi,Gimnazija,Aleksinac,BIO,10,2000,Mikroflora Petničke pećine,pdf/2000/z00-2104peccina.pdf
Jevtić Dragan,1984,Novi Sad,prvi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,10,2000,Mikroflora Petničke pećine,pdf/2000/z00-2104peccina.pdf
Lukić Jelena,1982,Beograd,treći,XIII beogradska gimnazija,Beograd,BIO,10,2000,Mikroflora Petničke pećine,pdf/2000/z00-2104peccina.pdf
Dinjaški Nina,1985,Kikinda,prvi,"Gimnazija ""Dušan Vasiljev""",Kikinda,BIO,7,2000,Ispitivanje uticaja fungicida TMTD na klijavost semena kukuruza (Zea mays L.) graška (Pisum sativum L.) i pasulja (Phaseolus vulgaris L.),pdf/2000/z00-2105nina1.pdf
Kisa Gorjana,1983,Beograd,treći,V beogradska gimnazija,Beograd,BIO,7,2000,Uticaj giberelina i svetlosti na izduživanje stabla izdanaka vilinog sita (Carlina acaulis L.) dobijenih u kulturi in vitro,pdf/2000/z00-2106gorjana.pdf
Maličević Maja,1982,Subotica,treći,"Gimnazija ""Svetozar Marković""",Subotica,BIO,8,2000,Uticaj različitih citokinina na retenciju hlorofila kod mahovina Conocephalum conicum (L.) Underw i Plagiomnium undulatum (Hedw.),pdf/2000/z00-2107maja.pdf
Popović Željko,1983,Zrenjanin,drugi,Zrenjaninska gimnazija,Zrenjanin,BIO,6,2000,"Uticaj natrijuma, hlora, gvoždja i zagadjene vode begeja na klijanje semena zelene salate (Lactuca sativa L.)",pdf/2000/z00-2108popovic.pdf
Marjanović Milena,1981,Požarevac,četvrti,"Gimnazija ""JovanŠerbanović""",Požarevac,GLG,7,2000,Geološko kartiranje okoline Rama,pdf/2000/z00-2201milena.pdf
Marjanović Miloš,1983,Požarevac,drugi,"Gimnazija ""Jovan Šerebanović""",Požarevac,GLG,7,2000,Geološko kartiranje okoline Rama,pdf/2000/z00-2201milena.pdf
Sretenović Tijana,1983,Beograd,drugi,V beogradska gimnazija,Beograd,GLG,6,2000,Neogeni i kvartarni sedimenti Mirijeva i Slanaca,pdf/2000/z00-2202tijana.pdf
Ivanov Ivan,1982,Bor,treći,"Gimnazija ""Bora Stanković""",Bor,GLG,8,2000,Hidrohemijske karakteristike termomineralnih voda Brestovačke banje,pdf/2000/z00-2203ivanov.pdf
Petrović Branislav,1981,Kragujevac,četvrti,Druga kragujevačka gimnazija,Kragujevac,GLG,6,2000,Zagadjenje podzemnih voda sela Priboj kod Leskovca,pdf/2000/z00-2204bane.pdf
Petronijević Fillip,1982,Čačak,treći,Gimnazija,Čačak,HEM,6,2000,Ispitivanje uticaja gvozdenog eksera na promenu hemijskog sastava jabuke,pdf/2000/z00-2302filip_p.pdf
Branković Aleksandra,1983,Despotovac,treći,Medicinska škola,Ćuprija,BMD,4,2000,Uticaj malationa na količinu ekstrahovanog mentola iz etarskih ulja pitome nane,pdf/2000/z00-2401alexandra.pdf
Arsić Radivoje,1975,Paraćin,apsolvent,Filozofski fakultet,Beograd,AHL,13,2000,Srednjovekovni manastir u Petnici,pdf/2000/z00-3101arsa.pdf
Milikić Ratomir,1980,,I godina,Filozofski fakultet,Beograd,AHL,13,2000,Srednjovekovni manastir u Petnici,pdf/2000/z00-3101arsa.pdf
Radivojević Miljana,1980,Prokuplje,I god,Filozofski fakultet,Beograd,AHL,25,2000,Tipologija i distribucija bakarnih predmeta tipa Pločnik na prostoru jugoistočne Evrope,pdf/2000/z00-3102miljana.pdf
Stevanović Petar,1978,Mladenovac,II god,Filozofski fakultet,Beograd,AHL,13,2000,Tematsko rekognosciranje i planigrafija lokaliteta Ilića brdo - Nepričava,pdf/2000/z00-3104pera.pdf
Marić Marija,1982,Aleksandrovac,treći,Gimnazija,Kruševac,AHL,13,2000,Tematsko rekognosciranje i planigrafija lokaliteta Ilića brdo - Nepričava,pdf/2000/z00-3104pera.pdf
Garača Vuk,1981,Kovilj,četvrti,"Gimnazija ""Svetozar Marković""",Novi Sad,AHL,13,2000,Tematsko rekognosciranje i planigrafija lokaliteta Ilića brdo - Nepričava,pdf/2000/z00-3104pera.pdf
Filipović Mirjana,1982,Valjevo,četvrti,Valjevska gimnazija,Valjevo,ANT,9,2000,Priča o drekavcu iz kanjona Gradca - tradicijski obrasci u savremenom folkloru,pdf/2000/z00-3201mira.pdf
Palibrk Vladimir,1981,Pančevo,četvrti,Filološka gimnazija,Beograd,LIN,11,2000,Neke karakteristike jezika na javnom čet kanalu Serbiancafe,pdf/2000/z00-3301palibrk.pdf
Antić Ana,1982,Bečej,četvrti,Gimnazija,Bečej,LIN,13,2000,Verbalna komika u delima Branislava Nušića i Dušana Kovačevića,pdf/2000/z00-3302antic.pdf
Simonović Marko,1983,Zaječar,drugi,Gimnazija,Zaječar,LIN,20,2000,Medjusobni uticaji kosovsko-resavskog i prizrensko-timočkog dijalekta i srpskog književnog jezika na primeru idiolekta Živke Miljković,pdf/2000/z00-3303simonovi.pdf
Stevanović Jasmina,1982,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,PSH,6,2000,Subjektivna istorija umetnosti,pdf/2000/z00-3401jasmina.pdf
Djukić Miodrag,1983,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,ELE,6,2000,Optoelektronski uredjaj za 3D skeniranje objekata primenom metode triangulacije,pdf/2000/z00-13013ds.pdf
Vidanović Ivana,1983,Jagodina,četvrti,Matematička gimnazija,Beograd,AST,9,2001,Odredjivanje metaličnosti unutrašnjeg haloa Mlečnog puta,pdf/2001/z01-1101ivana.pdf
Petrović Aleksandar,1985,Leskovac,prvi,"Gimnazija ""Stanimir Veljković Zele""",Leskovac,AST,7,2001,Odredjivanje snage sunčevog zračenja,pdf/2001/z01-1102apms.pdf
Simonović Marko,1985,Leskovac,prvi,"Gimnazija ""Stanimir Veljković Zele""",Leskovac,AST,7,2001,Odredjivanje snage sunčevog zračenja,pdf/2001/z01-1102apms.pdf
Čubrović Mihailo,1985,Beograd,,Matematička gimnazija,Beograd,AST,33,2001,Physical Characteristics and Photomorphographic Share Analysis of Asteroid 3 Juno,pdf/2001/z01-1103paper1.pdf
Gajić Biljana,1982,Beograd,četvrti,Matematička gimnazija,Beograd,FIZ,7,2001,Osobine samonepresecajućih puteva u ravni,pdf/2001/z01-1201bilja.pdf
Miletić Marija,1983,Boljevac,treći,Matematička gimnazija,Beograd,ELE,4,2001,Kontrola motora jednosmerne struje povratnom spregom,pdf/2001/z01-1301motor.pdf
Pantić Zdravko,1983,Loznica,treći,"Gimnazija ""Vuk Karadžić""",Loznica,ELE,4,2001,Kontrola motora jednosmerne struje povratnom spregom,pdf/2001/z01-1301motor.pdf
Knežević Jana,1984,Novi Beograd,drugi,Matematička gimnazija,Beograd,ELE,7,2001,Digitalni naponski regulator kontrolisan računarom,pdf/2001/z01-1302jana_kl.pdf
Savić Miloš,1984,Valjevo,drugi,Valjevska gimnazija,Valjevo,RAČ,16,2001,YAPCC: prenosivi C cross kompajler,pdf/2001/z01-1401yapcc.pdf
Vukojević Vanja,1982,Obrenovac,četvrti,Gimnazija,Obrenovac,BIO,10,2001,Ispitivanje potencijalnih hiperakumulatorskih vrsta deponije pepela,pdf/2001/z01-2101vanja.pdf
Dinjaški Nina,1985,Kikinda,treći,"Gimnazija ""Dušan Vasiljev""",Kikinda,BIO,6,2001,Ispitivanje selektivnosti i fitotoksičnosti pesticida na biljke kukuruza (Zea mays),pdf/2001/z01-2102nina.pdf
Tomašev Nenad,1985,Novi Sad,drugi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,4,2001,Uticaj različitih talasnih dužina svetlosti na privlačenje noćnih leptira,pdf/2001/z01-2103tomashev.pdf
Jovanović Boris,1982,Niš,četvrti,Gimnazija 9 maj,Niš,BIO,5,2001,Uticaj boja na ishranu zlatne ribice (Carassius auratus L. 1758),pdf/2001/z01-2104boris.pdf
Marjanović Miloš,1983,Požarevac,treći,Gimnazija,Požarevac,GLG,14,2001,Geološke karakteristike područja u slivu Crne Kamenice,pdf/2001/z01-2201maljen.pdf
Štrbački Milica,1983,Beograd,treći,I beogradska gimnazija,Beograd,GLG,14,2001,Geološke karakteristike područja u slivu Crne Kamenice,pdf/2001/z01-2201maljen.pdf
Petrović Senka,1980,Apatin,I god,Tehnološko-metalurški fakultet,Beograd,GLG,14,2001,Geološke karakteristike područja u slivu Crne Kamenice,pdf/2001/z01-2201maljen.pdf
Jovanović Stevan,1983,Beograd,treći,"Geološka i hidrometeorološka škola ""Milutin Milanković""",Beograd,GLG,14,2001,Geološke karakteristike područja u slivu Crne Kamenice,pdf/2001/z01-2201maljen.pdf
Šćepanović Danilo,1983,Ratkovo,treći,Gimnazija,Odžaci,GLG,14,2001,Geološke karakteristike područja u slivu Crne Kamenice,pdf/2001/z01-2201maljen.pdf
Marjanović Miloš,1983,Požarevac,treći,Gimnazija,Požarevac,GLG,7,2001,Mineralne pojave Malog Jastrepca,pdf/2001/z01-2202jastreb.pdf
Sretenović Tijana,1983,Beograd,treći,V beogradska gimnazija,Beograd,GLG,7,2001,Mineralne pojave Malog Jastrepca,pdf/2001/z01-2202jastreb.pdf
Jovanović Stevan,1983,Beograd,treći,"Geološka i hidrometeorološka škola ""Milutin Milanković""",Beograd,GLG,7,2001,Mineralne pojave Malog Jastrepca,pdf/2001/z01-2202jastreb.pdf
Peštrić Milica,1983,Beograd,treći,XIII beogradska gimnazija,Beograd,GLG,7,2001,Mineralne pojave Malog Jastrepca,pdf/2001/z01-2202jastreb.pdf
Mihaljević Ivica,1982,Zemun,treći,Zemunska gimnazija,Zemun,GLG,7,2001,Mineralne pojave Malog Jastrepca,pdf/2001/z01-2202jastreb.pdf
Nikolić Dragana,1982,Brestovačka banja,četvrti,"Gimnazija ""Bora Stanković""",Bor,GLG,5,2001,Magmatske stene na širem području Brestovačke banje,pdf/2001/z01-2203dragana.pdf
Simić Ivana,1984,Subotica,treći,"Gimnazija ""Svetozar Marković""",Subotica,GLG,9,2001,Osnovne hidrohemijske karakteristike pojedinih vodnih objekata i vodotokova u Petnici,pdf/2001/z01-2204obrvana.pdf
Djordjević Obrad,1983,Arandjelovac,treći,"Gimnazija ""Miloš Savković""",Arandjelovac,GLG,9,2001,Osnovne hidrohemijske karakteristike pojedinih vodnih objekata i vodotokova u Petnici,pdf/2001/z01-2204obrvana.pdf
Štrbački Milica,1983,Beograd,četvrti,I beogradska gimnazija,Beograd,GLG,9,2001,Ispitivanje zagadjenosti arteškog bunara Soko Štark,pdf/2001/z01-2205mica99.pdf
Velimirović Milica,1983,Kać,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,GLG,5,2001,Zagadjenost Malog Bačkog kanala hidrosistema Dunav-Tisa-Dunav,pdf/2001/z01-2206milica_v.pdf
Medenica Sanja,1984,Bar,treći,"Gimnazija ""Niko Rolović""",Bar,HEM,8,2001,Ispitivanje insekticidnog dejstva etarskog ulja lavande (Aetheroleum Lavandulae) na larve Dermestes,pdf/2001/z01-2301sanja.pdf
Pavićević Ivan,1984,Varvarin,treći,Gimnazija,Varvarin,HEM,5,2001,Ispitivanje katalitičkog dejstva vodenog ekstrakta različitih vrsta semena na razlaganje vodonik-peroksida,pdf/2001/z01-2302katalaza.pdf
Nedić Anka,1983,Kragujevac,treći,Prva kragujevačka gimnazija,Kragujevac,HEM,5,2001,Odredjivanje koncentracije metala u korišćenom ulju menjača automobila,pdf/2001/z01-2303z_anka.pdf
Čučulanović Sonja,1983,Smederevo,treći,Gimnazija,Smederevo,BMD,5,2001,Vitamin C i metilen plavo kao antidoti trovanja nitro-razredjivačem,pdf/2001/z01-2801sonya.pdf
Mihajlović Luka,1984,Beograd,drugi,III beogradska gimnazija,Beograd,BMD,6,2001,Ispitivanje preparata debele koke i čuvarkuće sa aspekta upotrebe u lečenju čira,pdf/2001/z01-2802luka.pdf
Živojinović Bogdana,1979,Pančevo,III god,Filozofski fakultet,Beograd,AHL,17,2001,Sistematsko rekognosciranje srednjeg toka Lepenice,pdf/2001/z01-3101lepenica.pdf
Marić Marija,1982,Aleksandrovac,četvrti,Gimnazija,Kruševac,AHL,17,2001,Sistematsko rekognosciranje srednjeg toka Lepenice,pdf/2001/z01-3101lepenica.pdf
Andrijević Ana,1981,Kragujevac,I god,Filozofski fakultet,Beograd,AHL,17,2001,Sistematsko rekognosciranje srednjeg toka Lepenice,pdf/2001/z01-3101lepenica.pdf
Tešović Ana,1983,Kragujevac,treći,Prva kragujevačka gimnazija,Kragujevac,AHL,17,2001,Sistematsko rekognosciranje srednjeg toka Lepenice,pdf/2001/z01-3101lepenica.pdf
Radivojević Miljana,1980,Prokuplje,II god,Filozofski fakultet,Beograd,AHL,9,2001,Brdo Vinik u antici,pdf/2001/z01-3102vinik.pdf
Velčev Milica,1984,Dimitrovgrad,drugi,Gimnazija,Dimitrovgrad,AHL,9,2001,Brdo Vinik u antici,pdf/2001/z01-3102vinik.pdf
Živanović Ana,1977,,IV god,Filozofski fakultet,Beograd,AHL,9,2001,Rekognosciranje lokaliteta Gradac-Ostrovica,pdf/2001/z01-3103vidmar.pdf
Protić Vida,1982,Niš,četvrti,"Gimnazija ""Stevan Sremac""",Niš,AHL,9,2001,Rekognosciranje lokaliteta Gradac-Ostrovica,pdf/2001/z01-3103vidmar.pdf
Janković Marko,1981,Niš,I god,Filozofski fakultet,Beograd,AHL,9,2001,Rekognosciranje lokaliteta Gradac-Ostrovica,pdf/2001/z01-3103vidmar.pdf
Bulajić Mirjana,1981,Zaječar,III god,Filozofski fakultet,Beograd,AHL,14,2001,Lasovo - vinčanski mikroregionalni sistem,pdf/2001/z01-3104lasovo.pdf
Vaduvesković Igor,1981,Zaječar,II god,Filozofski fakultet,Beograd,AHL,14,2001,Lasovo - vinčanski mikroregionalni sistem,pdf/2001/z01-3104lasovo.pdf
Protić Vida,1982,Niš,četvrti,"Gimnazija ""Stevan Sremac""",Niš,AHL,14,2001,Lasovo - vinčanski mikroregionalni sistem,pdf/2001/z01-3104lasovo.pdf
Živojinović Bogdana,1979,Pančevo,III god,Filozofski fakultet,Beograd,AHL,19,2001,Praistorijski tumuli na teritoriji opštine Pančevo,pdf/2001/z01-3105bogdana.pdf
Šoti Kristina,1981,Pančevo,I godina,Filozofski fakultet,Beograd,AHL,19,2001,Praistorijski tumuli na teritoriji opštine Pančevo,pdf/2001/z01-3105bogdana.pdf
Njaradi Dunja,1982,Subotica,četvrti,"Gimnazija ""Svetozar Marković""",Subotici,AHL,19,2001,Praistorijski tumuli na teritoriji opštine Pančevo,pdf/2001/z01-3105bogdana.pdf
Barbulov Ivana,1982,Zrenjanin,četvrti,Gimnazija,Zrenjanin,AHL,19,2001,Praistorijski tumuli na teritoriji opštine Pančevo,pdf/2001/z01-3105bogdana.pdf
Celner Senka,1984,Beograd,drugi,III beogradska gimnazija,Beograd,AHL,19,2001,Praistorijski tumuli na teritoriji opštine Pančevo,pdf/2001/z01-3105bogdana.pdf
Jovanović Deana,1983,Beograd,četvrti,III beogradska gimnazija,Beograd,ANT,8,2001,Promene vašara u zapadnoj Srbiji,pdf/2001/z01-3201deana.pdf
Savić Maja,1983,Beograd,četvrti,V beogradska gimnazija,Beograd,ANT,8,2001,Promene vašara u zapadnoj Srbiji,pdf/2001/z01-3201deana.pdf
Simonović Marko,1983,Zaječar,treći,Gimnazija,Zaječar,LIN,13,2001,Analiza grafije zaključaka zasedanja Arhijerejskog sabora iz 1846. godine,pdf/2001/z01-3301markos.pdf
Mirkov Andjelka,1982,Beograd,četvrti,VI beogradska gimnazija,Beograd,LIN,9,2001,Medjujezički homonimi i paronimi na primeru ruskog i srpskog jezika,pdf/2001/z01-3302andja.pdf
Božović Dušica,1979,Gornji Milanovac,treći,"Gimnazija ""Takovski ustanak""",Gornji Milanovac,LIN,5,2001,Bezličnost glagola trebati,pdf/2001/z01-3303dusica.pdf
Jocić Nevena,1980,Požarevac,drugi,Požarevačka gimnazija,Požarevac,LIN,13,2001,Učestalost upotrebe vrsta reči u svakodnevnom govoru,pdf/2001/z01-3304nevena.pdf
Gledić Jelena,1983,Beograd,treći,I beogradska gimnazija,Beograd,LIN,9,2001,Ispitivanje ikoničnosti onomatopeja u stripovima na različitim jezicima,pdf/2001/z01-3305jelenak.pdf
Stevanović Jasmina,1982,Novi Sad,četvrti,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,PSH,11,2001,Ikonička simbolika,pdf/2001/z01-3401jas1.pdf
Budjevac Nevena,1982,Beograd,četvrti,XIII beogradska gimnazija,Beograd,PSH,11,2001,Ikonička simbolika,pdf/2001/z01-3401jas1.pdf
Dinić Bojana,1983,Prokuplje,treći,Gimnazija,Prokuplje,PSH,11,2001,Ikonička simbolika,pdf/2001/z01-3401jas1.pdf
Strahinić Aleksandra,1982,Niš,četvrti,"Gimnazija ""Bora Stanković""",Niš,PSH,11,2001,Ikonička simbolika,pdf/2001/z01-3401jas1.pdf
Čubrović Mihailo,1985,Beograd,drugi,Matematička gimnazija,Beograd,AST,27,2002,Evolucija dvojnih asteroida bliskih Zemlji,pdf/2002/z02-1101mihailo.pdf
Topolovački Vesna,1984,Beograd,četvrti,I beogradska gimnazija,Beograd,AST,3,2002,Promene orbitalnog perioda eklipsno dvojne zvezde AK Herculis,pdf/2002/z02-1102ak.pdf
Stanić Miloš,1985,Temerin,drugi,Srednja mašinska škola,Novi Sad,AST,3,2002,Promene orbitalnog perioda eklipsno dvojne zvezde AK Herculis,pdf/2002/z02-1102ak.pdf
Sovtić Nemanja,1985,Novi Sad,treći,"Gimnazija ""Svetozar Marković""",Novi Sad,AST,3,2002,Promene orbitalnog perioda eklipsno dvojne zvezde AK Herculis,pdf/2002/z02-1102ak.pdf
Dimitrievska Aleksandra,1984,Bor,treći,"Gimnazija ""Bora Stanković""",Bor,AST,3,2002,Provera Lume-Bauelovog zakona preko fazne krive Meseca,pdf/2002/z02-1103lb.pdf
Đorđević Katarina,1985,Neresnica,drugi,Matematička gimnazija,Beograd,AST,3,2002,Provera Lume-Bauelovog zakona preko fazne krive Meseca,pdf/2002/z02-1103lb.pdf
Dimitrievska Aleksandra,1984,Bor,treći,"Gimnazija ""Bora Stanković""",Bor,AST,4,2002,Određivanje radijanta meteorskog roja sa fotografija standardnim postupkom,pdf/2002/z02-1104adtpdc.pdf
Petruševska Tanja,1985,Skoplje (MK),treći,"Gimnazija ""Rade Jovčevski Korčagin""",Skoplje (MK),AST,4,2002,Određivanje radijanta meteorskog roja sa fotografija standardnim postupkom,pdf/2002/z02-1104adtpdc.pdf
Ćuić Danijela,1985,Beograd,drugi,Zemunska gimnazija,Beograd,AST,4,2002,Određivanje radijanta meteorskog roja sa fotografija standardnim postupkom,pdf/2002/z02-1104adtpdc.pdf
Marjanović Aleksandra,1986,Valjevo,prvi,Valjevska gimnazija,Valjevo,AST,3,2002,Separacija čestica u meteorskim rojevima,pdf/2002/z02-1105an.pdf
Đoković Nevena,1985,Zaječar,drugi,Gimnazija,Zaječar,AST,3,2002,Separacija čestica u meteorskim rojevima,pdf/2002/z02-1105an.pdf
Papuga Pavle,1985,Vrbas,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,FIZ,8,2002,Karakteristike DLA modela fraktala,pdf/2002/z02-1201papuga.pdf
Đorđević Mladen,1984,Niška Banja,treći,"Gimnazija ""Bora Stanković""",Niš,FIZ,4,2002,Analiza mogućnosti za modulaciju poluprovodničkog lasera,pdf/2002/z02-1202laser.pdf
Pajović Danica,1984,Beograd,treći,III beogradska gimnazija,Beograd,ELE,4,2002,Laserski komunikator,pdf/2002/z02-1301laser_k.pdf
Knežević Jana,1984,Beograd,treći,Matematička gimnazija,Beograd,ELE,4,2002,Laserski komunikator,pdf/2002/z02-1301laser_k.pdf
Cvetković Jovana,1984,Kragujevac,treći,Prva kragujevačka gimnazija,Kragujevac,ELE,4,2002,Laserski komunikator,pdf/2002/z02-1301laser_k.pdf
Đakonović Biojana,1985,Budva (CG),drugi,"Gimnazija ""Danilo Kiš""",Budva (CG),ELE,4,2002,Senzori vlažnosti vazduha,pdf/2002/z02-1302bojan(a).pdf
Adamović Bojan,1985,Prijedor,drugi,Elektrotehnička škola,Prijedor,ELE,4,2002,Senzori vlažnosti vazduha,pdf/2002/z02-1302bojan(a).pdf
Đervida Dražen,1985,Omarska,četvrti,Gimnazija u Prijedoru,Prijedor,ELE,2,2002,Elektronsko merenje nivoa neprovodne tečnosti kapacitivnom metodom,pdf/2002/z02-1303nivo.pdf
Ćosić Ivan,1986,Čačak,treći,Gimnazija u Čačku,Čačak,ELE,2,2002,Elektronsko merenje nivoa neprovodne tečnosti kapacitivnom metodom,pdf/2002/z02-1303nivo.pdf
Savić Miloš,1984,Valjevo,treći,Valjevska gimnazija,Valjevo,RAČ,3,2002,YAMOS: multi-computer operativni sistem,pdf/2002/z02-1401msavic.pdf
Raca Mirko,1984,Novi Sad,četvrti,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,RAČ,3,2002,Simulacija osvetljenja građevinskih objekata,pdf/2002/z02-1402raca.pdf
Zeljić Katarina,1984,Loznica,treći,"Gimnazija ""Vuk Karadžić""",Loznica,BIO,9,2002,"Efekat NaCl ma klijanje semena tri vrste roda Centaurium (C. spicatum, C. tenuiflorum, C. erythraea)",pdf/2002/z02-2101kacca.pdf
Jevtić Dragan,1984,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,6,2002,Ispitivanje antifugalne aktivnosti petroletarskih i metanolnih ekstrakata mahovina Hypnum cupressiforme Hedw. i Pelliaendiviifolia (Dicks.) Dumort.,pdf/2002/z02-2102drajev.pdf
Marković Vladimir,1985,Pančevo,treći,"Gimnazija ""Uroš Predić""",Pančevo,BIO,11,2002,Gljive prouzrokovači truleži drveta topola (Populus spp.),pdf/2002/z02-2103topole.pdf
Popović Željko,1983,Zrenjanin,četvrti,Zrenjaninska gimnazija,Zrenjanin,BIO,6,2002,Ispitivanje sadržaja teških metala u dominantnim vodenim makrofitama Petničkog jezera,pdf/2002/z02-2104zpop03.pdf
Cvijan Nataša,1985,Beograd,drugi,XIV beogradska gimnazija,Beograd,BIO,3,2002,Epifitski lišaji kao bioindikatori zagađenosti vazduha u Petnici i okolini,pdf/2002/z02-2105natasha.pdf
Marković Marijana,1984,Beograd,treći,IV beogradska gimnazija,Beograd,BIO,3,2002,Uticaj magnetnog polja na morfološke osobine i količinu ukupnog hlorofila kod graška (Pisum sativum L.),pdf/2002/z02-2106marsin.pdf
Tadić Siniša,1984,Beograd,treći,IV beogradska gimnazija,Beograd,BIO,3,2002,Uticaj magnetnog polja na morfološke osobine i količinu ukupnog hlorofila kod graška (Pisum sativum L.),pdf/2002/z02-2106marsin.pdf
Marković Stefan,1985,Loznica,drugi,"Gimnazija ""Vuk Karadžić""",Loznica,GLG,6,2002,Rudni minerali sliva Borinske reke,pdf/2002/z02-2201stefan.pdf
Štrbački Milica,1983,Beograd,četvrti,I beogradska gimnazija,Beograd,GLG,11,2002,Geo-staza – turistička karta staze geoloških zanimljivosti planine Tare,pdf/2002/z02-2202tara_k.pdf
Sretenović Tijana,1983,Beograd,četvrti,V beogradska gimnazija,Beograd,GLG,11,2002,Geo-staza – turistička karta staze geoloških zanimljivosti planine Tare,pdf/2002/z02-2202tara_k.pdf
Marjanović Miloš,1983,Požarevac,četvrti,Požarevačka gimnazija,,GLG,11,2002,Geo-staza – turistička karta staze geoloških zanimljivosti planine Tare,pdf/2002/z02-2202tara_k.pdf
Černok Ana,1985,Pančevo,treći,"Gimnazija ""Uroš Predić""",Pančevo,GLG,11,2002,Uticaj geološke građe na formiranje hemijskog sastava Đavolje vode,pdf/2002/z02-2203cerris.pdf
Ristivojević Bojan,1985,Baroševac,treći,Gimnazija u Lazarevcu,Lazarevac,GLG,11,2002,Uticaj geološke građe na formiranje hemijskog sastava Đavolje vode,pdf/2002/z02-2203cerris.pdf
Simić Ivana,1984,Subotica,četvrti,"Gimnazija ""Svetozar Marković""",Subotica,GLG,10,2002,Kvalitet vode Palićkog jezera,pdf/2002/z02-2204ivana_s.pdf
Mujačić Lidija,1984,Beograd,treći,Zemunska gimnazija,Beograd,HEM,11,2002,"Sinteza, karakterizacija i umrežavanje nezasićenih poliestara",pdf/2002/z02-2301zlidija.pdf
Tadić Srđan,1984,Uljma,treći,"Gimnazija ""Borislav Petrov Braca""",Vršac,HEM,6,2002,Optimizacija uslova sinteze epoksidnih smola,pdf/2002/z02-2302zms.pdf
Ivanović Milan,1984,Požega,treći,"Gimnazija ""Sveti Sava""",Požega,HEM,6,2002,Optimizacija uslova sinteze epoksidnih smola,pdf/2002/z02-2302zms.pdf
Nedić Anka,1983,Kragujevac,četvrti,I kragujevačka gimnazija,Kragujevac,HEM,5,2002,Uticaj ultrazvuka na taloženje ogledalnih slojeva,pdf/2002/z02-2303z_anka.pdf
Milutinović Milena,1983,Požarevac,četvrti,Požarevačka gimnazija,Požarevac,HEM,3,2002,Poređenje kiselinsko-bazne titracije sa jodimetrijskim metodama za određivanje vitamina C,pdf/2002/z02-2304milena.pdf
