autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Stojiljković Aleksandra,,,,,,BIO,5,2013,Diverzitet faune dnevnih leptira okoline Petnice,pdf/2013/BIO1310.pdf
Antonović Milan,,,,,,BIO,6,2013,"Efekti cinka na rast, sadržaj fosfata i fotosintetižkih pigmenata graška (Pisum sativum L.)",pdf/2013/BIO1311.pdf
Ješić Milica,,,,,,BIO,1,2013,"Ispitivanje koncentracije odabranih teških metala u tkivima bodorke – Rutilus rutilus (Linnaeus, 1758) i uklije – Alburnus alburnus (Linnaeus, 1758) iz Petničkog jezera",pdf/2013/BIO1312.pdf
Sarafinovska Simona,,,,,,BMD,10,2013,Changes in the Antioxidant Capacity of Garlic in Relation to the Cooking Method,pdf/2013/BMD1301.pdf
Maksimović Stefan,,,,,,BMD,5,2013,Karakterizacija beta-laktoglobulina modifikovanog fruktozom,pdf/2013/BMD1302.pdf
Radišić Vanja,,,,,,BMD,3,2013,Sinergistički uticaj valproinske kiseline i glicina na sadržaj gama-aminobuterne kiseline u mozgu laboratorijskog pacova (Wistar rat),pdf/2013/BMD1303.pdf
Mandić Marko,,,,,,BMD,5,2013,Ispitivanje bioloških osobina Maillardovih proizvoda proteina surutke i D-ksiloze,pdf/2013/BMD1304.pdf
Bižić Andrija,,,,,,BMD,4,2013,Citotoksični uticaj infracrvenog zračenja na HeLa ćelije tretirane nanočesticama zlata,pdf/2013/BMD1305.pdf
Todorović Nadežda,,,,,,DIZ,2,2013,Petnički suvenir,pdf/2013/DIZ1301.pdf
Marković Nikola,,,,,,DIZ,2,2013,Petnički suvenir,pdf/2013/DIZ1301.pdf
Popov David,,,,,,DIZ,2,2013,Petnički suvenir,pdf/2013/DIZ1301.pdf
Živković Aleksandra,,,,,,DIZ,2,2013,Petnički suvenir,pdf/2013/DIZ1301.pdf
Novičić Tijana,,,,,,DIZ,2,2013,Petnički suvenir,pdf/2013/DIZ1301.pdf
Žegarac Ana,,,,,,FIZ,8,2013,Ispitivanje uticaja tornavoza na zvuk klasične gitare,pdf/2013/FIZ1301.pdf
Stanisavljević Ognjen,,,,,,FIZ,11,2013,Strukturne promene u dvodimenzionalnim granularnim sistemima u uslovima izmenjene efektivne gravitacije u procesu prodiranja stranog tela,pdf/2013/FIZ1302.pdf
Petrović Marija,,,,,,FIZ,11,2013,Strukturne promene u dvodimenzionalnim granularnim sistemima u uslovima izmenjene efektivne gravitacije u procesu prodiranja stranog tela,pdf/2013/FIZ1302.pdf
Bukva Aleksandar,,,,,,FIZ,9,2013,Ispitivanje uticaja gustine plazme na efikasnost ubrzanja elektrona pulsnim laserom,pdf/2013/FIZ1303.pdf
Šešelja Petra,,,,,,FIZ,7,2013,Eksperimentalno utvrđivanje haosa u kretanju fizičkog klatna sa oscilujućom tačkom vešanja,pdf/2013/FIZ1304.pdf
Gligorić Kristina,,,,,,FIZ,7,2013,Eksperimentalno utvrđivanje haosa u kretanju fizičkog klatna sa oscilujućom tačkom vešanja,pdf/2013/FIZ1304.pdf
Milutinović Marija,,,,,,FIZ,10,2013,Ispitivanje osobina hidrauličnih skokova,pdf/2013/FIZ1305.pdf
Markov Jovan,,,,,,FIZ,10,2013,Ispitivanje osobina hidrauličnih skokova,pdf/2013/FIZ1305.pdf
Marković Jelena,,,,,,FIZ,7,2013,Ispitivanje statičkih i dinamičkih osobina tečnih klikera,pdf/2013/FIZ1306.pdf
Šukurma Zoran,,,,,,FIZ,7,2013,Ispitivanje statičkih i dinamičkih osobina tečnih klikera,pdf/2013/FIZ1306.pdf
Krstajić Milan,,,,,,FIZ,7,2013,Uticaj električne provodnosti vode na fenomen nesjedinjavanja naelektrisanih kapljica,pdf/2013/FIZ1307.pdf
Avramović Andrija,,,,,,GLG,24,2013,Tektonski sklop područja Rebeljske reke,pdf/2013/GLG1301.pdf
Rajšić Andrea,,,,,,GLG,4,2013,Kvalitet peloida iz Barande sa aspekta njihove primene u balneoterapiji,pdf/2013/GLG1302.pdf
Jovanović Dina,,,,,,GLG,4,2013,Kvalitet peloida iz Barande sa aspekta njihove primene u balneoterapiji,pdf/2013/GLG1302.pdf
Slavković Dragana,,,,,,GLG,9,2013,Sulfidno-oksidna mineralizacija Šaške reke,pdf/2013/GLG1303.pdf
Kovačević Dušanka,,,,,,GLG,9,2013,Sulfidno-oksidna mineralizacija Šaške reke,pdf/2013/GLG1303.pdf
Šarenac Danica,,,,,,GLG,7,2013,Zagađenost podzemnih voda organskim materijama na području Petnice,pdf/2013/GLG1304.pdf
Barudžija Matija,,,,,,GLG,7,2013,Zagađenost podzemnih voda organskim materijama na području Petnice,pdf/2013/GLG1304.pdf
Gorjanc Irena,,,,,,GLG,5,2013,Primena zeolita u prečišćavanju zemljišta povećane kiselosti,pdf/2013/GLG1305.pdf
Milivojević Jakša,,,,,,GLG,5,2013,Uticaj rupturnog sklopa i hemijskog sastava karbonatnih stena na razvoj Bačevačkog merokarsta,pdf/2013/GLG1306.pdf
Popović Jovana,,,,,,GLG,1,2013,Distribucija nitrata u podzemnim vodama na području Svilajnca,pdf/2013/GLG1307.pdf
Milošević Dunja,,,,,,GLG,1,2013,Distribucija nitrata u podzemnim vodama na području Svilajnca,pdf/2013/GLG1307.pdf
Sekalović Miloš,,,,,,HEM,8,2013,Ispitivanje uticaja olova(II) na primarni i sekundarni metabolizam kukuruza primenom HPLC/MS i GC/MS metode,pdf/2013/HEM1301.pdf
Anđelković Milorad,,,,,,HEM,7,2013,Optimizacija uslova za biosorpciju bakar(II) jona iz otpadnih voda biomasom šišarice crnog bora (Pinus nigra L.),pdf/2013/HEM1302.pdf
Živojinović Olivera,,,,,,HEM,13,2013,Optimizacija sinteze i karakterizacija polianilina dopiranog poli(4-stirensulfonskom kiselinom) i njegova primena u određivanju jona olova,pdf/2013/HEM1303.pdf
Sretenović Dragana,,,,,,HEM,13,2013,Optimizacija sinteze i karakterizacija polianilina dopiranog poli(4-stirensulfonskom kiselinom) i njegova primena u određivanju jona olova,pdf/2013/HEM1303.pdf
Puđa Milica,,,,,,HEM,7,2013,Elektrohemijska i bio-degradacija boje metilensko plavo,pdf/2013/HEM1304.pdf
Urošević Ana,,,,,,HEM,7,2013,Određivanje najpovoljnijeg sastava niozoma kao transportnog sistema za flurbiprofen,pdf/2013/HEM1305.pdf
Gligorovski Vojislav,,,,,,HEM,9,2013,Poređenje analitičkih metoda za određivanje vitamina C u farmaceutskim preparatima,pdf/2013/HEM1306.pdf
Banjac Isidora,,,,,,HEM,1,2013,Ispitivanje uticaja provodljivosti početnog rastvora i koncentracije katalizatora na sintezu silika nanočestica sol-gel metodom,pdf/2013/HEM1307.pdf
Momčilović Aleksandar,,,,,,IST,9,2013,Povezanost uslova života i smrtnosti u opštini Velika Plana u periodu od 1882. do 1912. godine,pdf/2013/IST1301.pdf
Ćurčić Petar,,,,,,IST,18,2013,Gimnazija „Jovan Jovanović Zmaj” u sistemu usmerenog obrazovanja (1977-1990),pdf/2013/IST1302.pdf
Glogovac Nikola,,,,,,IST,6,2013,Uticaj ideologije u okviru razvoja kulturno-umjetničkog rada sa omladinom u Višegradu tokom prve dvije decenije nakon Drugog svjetskog rata,pdf/2013/IST1303.pdf
Čorbić Miloš,,,,,,IST,2,2013,Uslovi života i rada radnika fabrike Magnohrom u kontekstu privredne reforme 1965. godine na osnovu zapisnika radničkog saveta fabrike i lista Magnohrom,pdf/2013/IST1304.pdf
Veličković Aleksandra,,,,,,LIN,4,2013,"Usvajanje predloga i priloga za mesto kod dece uzrasta 18, 28 i 38 meseci",pdf/2013/LIN1301.pdf
Babinjec Ana Maria,,,,,,LIN,8,2013,Strategije prevođenja naslova knjiga sa engleskog na srpski i hrvatski jezik,pdf/2013/LIN1302.pdf
Cvetić Andrej,,,,,,LIN,1,2013,Konceptualizacija pregovora Srbije i Kosova (2013) na primerima iz dnevnog lista Politika,pdf/2013/LIN1303.pdf
Silađi Kristina,,,,,,MAT,14,2013,Potapanje grafova u knjige,pdf/2013/MAT1301.pdf
Silađi Danijel,,,,,,MAT,14,2013,Potapanje grafova u knjige,pdf/2013/MAT1301.pdf
Stanković Tamara,,,,,,MAT,18,2013,Optičko prepoznavanje hemijskih formula ugljovodonika,pdf/2013/MAT1302.pdf
Bulatović Luka,,,,,,MAT,18,2013,Optičko prepoznavanje hemijskih formula ugljovodonika,pdf/2013/MAT1302.pdf
Šarković Anđela,,,,,,MAT,11,2013,Gustina skupa u N,pdf/2013/MAT1303.pdf
Asanović Tanja,,,,,,MAT,11,2013,Gustina skupa u N,pdf/2013/MAT1303.pdf
Ivanović Đorđe,,,,,,MAT,1,2013,Fazi grafovi intervalnih vrednosti,pdf/2013/MAT1304.pdf
Stanković Stefan,,,,,,MAT,1,2013,Fazi grafovi intervalnih vrednosti,pdf/2013/MAT1304.pdf
Filipović Nemanja,,,,,,PFE,14,2013,Poređenje metoda za estimaciju i upravljanje ugla propinjanja kvadkoptera,pdf/2013/PFE1301.pdf
Skakun Đorđe,,,,,,PFE,14,2013,Poređenje metoda za estimaciju i upravljanje ugla propinjanja kvadkoptera,pdf/2013/PFE1301.pdf
Martinović Mila,,,,,,PFE,13,2013,Analiza procesa bacanja pikado strelice robotskom rukom i određivanje tačnosti i ponovljivosti pogotka mete,pdf/2013/PFE1302.pdf
Milenić Nikola,,,,,,PFE,7,2013,Poređenje algoritama za izdvajanje vena u šaci pri biometrijskoj identifikaciji,pdf/2013/PFE1303.pdf
Mitrović Lazar,,,,,,PFE,6,2013,Analiza i implementacija Gold-Rabiner algoritma za određivanje osnovne frekvencije ljudskog govora na Spartan3 FPGA razvojnoj ploči,pdf/2013/PFE1304.pdf
Sretenović Aleksandar,,,,,,PFE,6,2013,Analiza karakteristika tekstura na fotografijama i njihova primena u prepoznavanju materijala,pdf/2013/PFE1305.pdf
Vukomanović Vuk,,,,,,PFE,6,2013,Analiza karakteristika tekstura na fotografijama i njihova primena u prepoznavanju materijala,pdf/2013/PFE1305.pdf
Markov Kristina,,,,,,PSH,13,2013,Uticaj obrazovnog međugrupnog kontakta na etničke stavove,pdf/2013/PSH1301.pdf
Petrović Sara,,,,,,PSH,10,2013,Efekti afektivnog primovanja u zadacima odlučivanja,pdf/2013/PSH1302.pdf
Pavlović Anđelija,,,,,,PSH,6,2013,Procenjivanje fizičke privlačnosti osoba oba pola u zavisnosti od seksualne orijentacije procenjivača,pdf/2013/PSH1303.pdf
Mandić Marko,,,,,,PSH,6,2013,Procenjivanje fizičke privlačnosti osoba oba pola u zavisnosti od seksualne orijentacije procenjivača,pdf/2013/PSH1303.pdf
Salim Isidora,,,,,,PSH,7,2013,Uticaj boje pozadine na procenu privlačnosti lica,pdf/2013/PSH1304.pdf
Stanojković Tamara,,,,,,PSH,7,2013,Uticaj boje pozadine na procenu privlačnosti lica,pdf/2013/PSH1304.pdf
Milivojević Aleksandra,,,,,,RAČ,8,2013,Analiza strategija za igru „Ne ljuti se čoveče”,pdf/2013/RAČ1301.pdf
